Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPHA80196	ASIA	Sly 2: Band of Thieves	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80196_00/plqqLxfXYyJWRDeupJxaHKnGVgdqWkCNJXiBIfoHgVfYKqnLJdWzSKlZeRRYmHoNXPpSczCFnNfLJGIMLpiXHXAxeUYCLeJjjJNYs.pkg	MISSING	HP9000-NPHA80196_00-SLY2AS010100SHIP			6464365696	
NPHA80248	ASIA	Everybody's Golf 6	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80248_00/affivdefnmizBrxkJvhpXzwhrJGeOzgjrSSBijirhaesqrCddXLzDgugUxddePhfKSYAyRJchTpzwwtGTGsAKlHOnYuqnwRIstzkl.pkg	MISSING	HP9000-NPHA80248_00-0000111122223333			3366167200	
NPHA80195	ASIA	Sly Cooper	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80195_00/oTxnBNvvuIERmSNasuwbSOhOqUJqqMdtdDnftTGvQXewvgIOOHzVdtWyElnajuCXvdLxEIthIEhBfaVNVljlopDFeXcsMrNMYWuhI.pkg	MISSING	HP9000-NPHA80195_00-SLY1AS010100SHIP			4337953328	
NPHA80197	ASIA	Sly 3: Honor Among Thieves	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80197_00/kkaqDEQhOUPXYLCycBbErTfxvnWVLfqeIjfuNuPRCPIKDWZzOhAFuXZhWPLalzhuEWldUYmUFQjPlgtGrdJfrMQURHgjRwwEZASPt.pkg	MISSING	HP9000-NPHA80197_00-SLY3AS010100SHIP			9634813984	
NPHB00500	ASIA	ToeJam & Earl	http://zeus.dl.playstation.net/cdn/HP0177/NPHB00500_00/gbycSUZEWLGYPyTUWXEeWbRjpYddbbpOUdvlJGHCfhdrUptJNlSSchTjTRGXOjnCjYWIRbYIcndqPJTpYnoWbRGkfOkNtqcLUIqyJ.pkg	MISSING	HP0177-NPHB00500_00-SVC313TOEJAMEARL			95269776	
NPHA80187	ASIA	Datura	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80187_00/CHuUmDddoWIaRSfsgFPiJUoKwwUSvPAsltIwnKBftRxphiHUgQnqwlnCHnvGxddAheHopPoFrkSiFhMXukKcRryaVMSCBmYjYYVqT.pkg	MISSING	HP9000-NPHA80187_00-0DATURADATURADAT			924092944	
NPHB00467	ASIA	Sonic Adventure 2 DEMO	http://ares.dl.playstation.net/cdn/HP0177/NPHB00467_00/bEbBogFfwejEtqFBLbteNglMBjwqNnmzJiziQgUHvuGvyWNKfaBvPYFkUKTduGLVGGIVDfrqEpxdqxBAmnotkNcqJieEbekmrhbZe.pkg	MISSING	HP0177-NPHB00467_00-SONICADVENTURE2T			3289361152	
NPHB00348	ASIA	RESIDENT EVIL CODE: Veronica X	http://zeus.dl.playstation.net/cdn/HP0102/NPHB00348_00/tyPRWZMQaPjhXFCHbWMEWyEIghZVulbzUpiYOvEUaoZTSTcOzLjwMGPkXxdQCXzkGfeCHJdVfBZTMfIlRDChCogWLLxHjqauQONCS.pkg	MISSING	HP0102-NPHB00348_00-CONTENT0000DLPKG			2551787088	
NPHB00501	ASIA	ToeJam & Earl in Panic on Funkotron	http://zeus.dl.playstation.net/cdn/HP0177/NPHB00501_00/pZeFBbVxMPQDfyCQcbeyTWmSEPAcSKaiXuHPbiyOEwCFGcERrAPprGWMJQEaxFsJTRISgUjeWwJQFTWWSNgCROBfrbAUIqhPVlfyW.pkg	MISSING	HP0177-NPHB00501_00-SVC314TOEJAMERL2			103565232	
NPHB00276	ASIA	Bionic Commando Rearmed 2	http://zeus.dl.playstation.net/cdn/HP0102/NPHB00276_00/KcATdmMvoZZQdCiXZetIuDRHXcYhNXDKUNYueveTZJFFyyWjcSFnAqvirvBMKKrvOSBjXkNDsTlROXxJPMbWrDJTcngqSzoBaOCLT.pkg	MISSING	HP0102-NPHB00276_00-BCREARMED20000NP			1551308016	
NPHB00505	ASIA	NiGHTS into dreams...	http://zeus.dl.playstation.net/cdn/HP0177/NPHB00505_00/hujGLDjYtUizzwwLVEGFhkPRFWoiDEzFenmxzDNmqmwFyOeXhVQbmDEEfmimGoWxFRdWDZXeGezRzLPLCnBjqdXHThqPwHrWgnVQR.pkg	MISSING	HP0177-NPHB00505_00-NIGHTSINTODREAMS			2121204976	
NPHB00409	ASIA	RESIDENT EVIL 5 GOLD EDITION	http://zeus.dl.playstation.net/cdn/HP0102/NPHB00409_00/qYyBystsMiHHoplMBBGHkWvuGmBNvXcaWLyBfUetXWopryEEOSLYOEPKGQKAijTqDSziBUgZrkSYkhJxCuyLcLYyTQUhddIlmTLFF.pkg	MISSING	HP0102-NPHB00409_00-HDDBOOT0100A0100			7903442672	
NPHB00495	ASIA	OKAMI HD (Download Ver.)	http://zeus.dl.playstation.net/cdn/HP0102/NPHB00495_00/UajtiPIcYBedOjJIgopQWqkckOHHJVSDdnpkJNceoQcakSNSmvCogpVyccvUDktiqITiXYJrgaNepkLJFnLOVQAqIIPotmgSrPEzL.pkg	MISSING	HP0102-NPHB00495_00-0000000000000000			6649318816	
NPHB00516	ASIA	Fighting Vipers	http://zeus.dl.playstation.net/cdn/HP0177/NPHB00516_00/hUgcLScNmYXBYPlNIHvsJhoKpHEikltDgXLAnUEsQLkKCUZCHaPusvOYOcoLEHdqLuJBkdunOTCujBjHcFfRBulkJmEOSSMrfErXz.pkg	MISSING	HP0177-NPHB00516_00-FIGHTINGVIPERS00			70423136	
NPHB00723	ASIA	BLAZBLUE CHRONOPHANTASMA EXTEND	http://zeus.dl.playstation.net/cdn/HP5035/NPHB00723_00/HP5035-NPHB00723_00-BBCPPS3000001000_bg_1_7c6ba1eadd14f8ddb1817424ded306c04c7f364c.pkg	MISSING	HP5035-NPHB00723_00-BBCPPS3000001000			13498895760	
NPHB00303	ASIA	MALICIOUS	http://zeus.dl.playstation.net/cdn/HP0015/NPHB00303_00/RStGqdetgYXWSOdDUXYhXuEOuBKQCtjwbtAQttjhantvKvGHREeupuQWYcmXXDqUlYVYWtVZOxaIZeUnWeTJajrHvHBdiaKPxjOie.pkg	MISSING	HP0015-NPHB00303_00-GAMEPURCHASE0001			591417792	
NPHA80040	ASIA	echochrome primal 無限回廊序曲	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80040_00/RJpRuHjtBAeXMFOvvDmsLGb3KyVdEBHakQ9HMpHPsioA7Y1Ij1RB90t5coRsiuSYFGxyNdjMUUqwV1VBVxuhCj8yB90aIDhxi2IH9.pkg	MISSING	HP9000-NPHA80040_00-ECHOCHROME000000			103899488	
NPHA80250	ASIA	Puppeteer™ full game	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80250_00/HobtlpPUODbXfBSLbFlWbXjhsVlTvPSZCNEgEfvdvNAhBFzQgQErqeQPXStLVyzGgkcXImCgPaaGgRWwpTFIHEKEHICMbBOOFJLZS.pkg	MISSING	HP9000-NPHA80250_00-0000000000000000			6408072640	
NPEB01262	EU	Atelier Ayesha ~The Alchemist of Dusk~	http://zeus.dl.playstation.net/cdn/EP4108/NPEB01262_00/bPYaKzouuFVBZUYdnpQPjpGDojwlkTzHjZlUCgVKDjHJhYlGLYqzzGzFSkivwAzp.pkg	MISSING	EP4108-NPEB01262_00-A14DLPACKAGE0000			15616286752	
NPHA80258	ASIA	God of War: Ascension	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80258_00/HP9000-NPHA80258_00-GOWADIGITALVERS1_OoTZcb9WUOPVWeuhJdeSqCQUEzcF9B6gnsQnm64GkNLyIgtLvtiW3QimIjLZFMkY_00.pkg	MISSING	HP9000-NPHA80258_00-GOWADIGITALVERS1			4687500000	
NPUB31051	US	NBA 2K13	http://zeus.dl.playstation.net/cdn/UP8801/NPUB31051_00/hXTbwlYXmCqdJlJEtLsKCzJVGPpeuYcesXSuFGLkFhUZrulcGYWLJZCIbSNRtPvy.pkg	MISSING	UP8801-NPUB31051_00-NBA2K13DIGITAL00			9687081120	
NPHB00532	ASIA	Do Not Fall	http://zeus.dl.playstation.net/cdn/HP5010/NPHB00532_00/PMbCeEfOivAEaHuBqzflrrVYKSOiWjsXFfDYRzqURUjCDIZyMBsKCdCevQfHFLyBJfwqXrqzMiNELGTbvMChyunIAzaFaNQFDpeCF.pkg	MISSING	HP5010-NPHB00532_00-DNF00ASIA0000000			697363552	
NPHB00530	ASIA	ACE COMBAT ASSAULT HORIZON full game	http://zeus.dl.playstation.net/cdn/HP0700/NPHB00530_00/iCtwqkcercKMKBEPfgBgJRFsOPbHJRRHeTaKxPOMohHfbrWracnYmcDtojLzhdZPoqKkUfzqmBYbPYApRBGmdcazMdeilgMyPweYt.pkg	MISSING	HP0700-NPHB00530_00-ACECOMBATAHHDD01			7302439232	
