UP0017-NPUA30030_00-HITOGATAHAPPAEP0;1;Hitogata Happa (US);;F89DF2C36EF93B5E8B1CEF02312F56FC;http://zeus.dl.playstation.net/cdn/UP0017/NPUA30030_00/cinLiLleaffFQGbQrbJK9OO8t4p8yfO5afSYVs4b3VU5EluMPbVFe9BVOEBbOr3vKGDNr8QDn97r14xedvEqcJjBngvm9DSLqEBRx.pkg;618078368;;2017-11-28 02:21:05;US
UP0017-NPUA30031_00-GUNDEADLIGNEEPI2;1;GundeadliGne (US);;474060E84D3B3F7A08ED7F3783C86A3B;http://zeus.dl.playstation.net/cdn/UP0017/NPUA30031_00/2aarmS5WqeQAKssd9jco19DRRB0LXBktl1x1teTW49cTv2gd8m6IgoKiqXqiHfPk81BOSmwUCeqidvxGNP1fxwKyWaVpm0jiKiGE4.pkg;397695232;;2017-11-28 02:21:05;US
UP0017-NPUA30032_00-CRESCENTPALEMIST;1;Crescent Pale Mist (US);;A77082716B719532FB664C15F6BA4601;http://zeus.dl.playstation.net/cdn/UP0017/NPUA30032_00/vWuDGDrpxNXJG1mV59WIm3AJFbRJKhPha0IfJ3nMnDUQRcmXG09D4uiSaeGCXMdKoB2itAFOltmBABFOo4dEJELLjJ6s4eQWtHPFH.pkg;156525664;;2017-11-28 02:21:05;US
UP0017-NPUA30035_00-RONIMOSSUSA00001;1;Swords and Soldiers (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30035_00/PAdTIUBaOMC3f8gjWBhWjMQ8RU53N436sMrkVxwNCw7fOkS5DERthvcNqYYfdC5x9MtB0C6m62jc4Tpktsd4ma4JjEahWPPKanNRH.pkg;259400336;;2018-02-06 20:04:04;US
UP0017-NPUA30036_00-HDDBOOTEGGS00001;1;Akimi Village (Trial to Full) (US);;NOT REQUIRED;http://zeus.dl.playstation.net/cdn/UP0017/NPUA30036_00/nHaGXrCcmqeWPNDCMyKrbneUPoiTdkZretFMbOOxFkhMScXmLCiqhCxdetdVDrzAbOhKlnlxgWjHOfseQkkfFYHrCDwHGBYaMdeXC.pkg;274099184;;;US
UP0017-NPUA30037_00-TERROVER00000000;1;TerRover (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30037_00/nISo0IOm6bmEybBGJvpS3g40tjYdq3oQkjRUFpjqFDXKAuDU0EWVxGiCCAlsTQO05FYeW3a30FjdLisj1M4IgNA2kxKi44RCcDvFh.pkg;130998064;;2018-01-10 17:41:46;US
UP0017-NPUA30059_00-PLNTSVZOMBIESPS3;1;Plants VS Zombies (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30059_00/iKsdyDdBEejDuZrONoLZlLskLksEFthWjGRYMGunzVEyOPKsXrGRZbWyHAAmLoHANOvnUfqeaOttBvsJEjPVyPSjuRMkbkcGLxEPm.pkg;95667456;;2017-11-26 22:04:39;US
UP0017-NPUA30060_00-SLAMBOLTSCRAPPSN;1;Slam Bolt Scrappers (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30060_00/qsMrCCrPcjxntuDHHFUXukZiEEyAJaWmoRwjVhZGgprIvAIlLzxxXhzAOrvkZhJCVlkTxEVVLIRISzqgDIPrjdSwZKVeEMDKVyjFm.pkg;513056800;;2018-02-06 20:04:17;US
UP0017-NPUA30061_00-ROCHARD000000000;1;Rochard (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30061_00/hkiNXzOQvXbKnEQiWrHImTLNZwAwxCwizmhvjhwcMtXfCbKPHgSzHeVLUoDdNtrsgsVjRHnjrqSgpQUeXeKjbNvDaDRdqIeJQGlbe.pkg;1355352592;;2018-02-06 20:04:21;US
UP0017-NPUA30066_00-SIDEWAYTRIAL0000;1;Sideway New York (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP0017/NPUA30066_00/ipuYHvINIzpoVwGwjZyCBEaFDFMgAQBGOuxLKGtgDcomNnJTgTteuwbJYKYUiVZRPExdYCkytwSTAZdyGASgTZWAofuSOEZxpkkAG.pkg;1748490192;;2018-02-06 20:04:27;US
